_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,alternative1_1,alternative2_1,alternative3_1,alternative4_1,entity_selection,alternative10_1,alternative11_1,alternative12_1,alternative5_1,alternative6_1,alternative7_1,alternative8_1,alternative9_1,alternative1,alternative1_1_gold,alternative2,alternative2_1_gold,alternative3,alternative3_1_gold,alternative4,alternative4_1_gold,alternative5,alternative6,alternative7,alternative8,entity_selection_gold,identifier,sentence,type1,type2,what_are_the_valid_types_of_span_classterm_selected_comp10first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp11first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp12first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp5first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp6first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp7first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp8first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp9first_span_gold,alternative9,alternative10,alternative11,alternative12
1094397408,11/24/2016 08:12:35,2239193791,11/24/2016 08:11:34,false,neodev,1,11460728,CAN,BC,Burnaby,70.79.16.165,"place
organization",organization,other,other,"Electrical__119__129
Electrical and Electronics__119__145
Electronics__134__145
Electronics Engineers__134__155
Institute__106__115
Institute of Electrical and Electronics Engineers__106__155",,,,role,other,,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 11:29:53,2239445055,11/24/2016 11:28:43,false,tremorgames,0.9752,36826029,CAN,ON,Ottawa,64.231.230.59,"place
organization","place
organization",role,role,"Electronics Engineers__134__155
Institute of Electrical and Electronics Engineers__106__155",,,,"role
person","role
other",,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 12:28:23,2239538913,11/24/2016 12:26:55,false,elite,0.9668,38636673,USA,NY,New York,107.170.41.154,"place
organization","place
organization",role,"role
other",Institute of Electrical and Electronics Engineers__106__155,,,,role,"role
other",,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 12:43:30,2239564618,11/24/2016 12:42:50,false,instagc,0.9655,18531561,CAN,ON,Richmond Hill,99.237.209.161,organization,organization,role,role,Institute of Electrical and Electronics Engineers__106__155,,,,role,role,,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 16:06:45,2239920189,11/24/2016 16:01:49,false,clixsense,0.9617,17950689,GBR,,,147.147.53.210,organization,organization,organization,role,Institute of Electrical and Electronics Engineers__106__155,,,,organization,organization,,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 16:46:10,2240021949,11/24/2016 16:45:52,false,neodev,0.9599,18881135,CAN,NB,Saint George,174.119.194.25,organization,organization,other,other,Institute of Electrical and Electronics Engineers__106__155,,,,other,other,,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 17:04:31,2240066739,11/24/2016 17:02:32,false,instagc,0.9668,20043586,USA,NY,Troy,66.67.106.176,organization,organization,other,other,Institute of Electrical and Electronics Engineers__106__155,,,,other,other,,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 18:16:30,2240218488,11/24/2016 18:15:27,false,prodege,0.9574,38202325,USA,ME,Caribou,45.46.116.185,"place
organization","organization
place",other,other,"Electronics__134__145
Electrical__119__129
Institute__106__115
Electrical and Electronics__119__145
Electronics Engineers__134__155
Institute of Electrical and Electronics Engineers__106__155",,,,"person
role",other,,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 18:36:41,2240254721,11/24/2016 18:36:22,false,clixsense,0.9594,31738779,CAN,,,45.72.221.232,organization,role,other,other,Institute of Electrical and Electronics Engineers__106__155,,,,other,other,,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
1094397408,11/24/2016 23:25:13,2240917117,11/24/2016 23:24:47,false,tasks4dollars,0.9491,40325016,USA,CA,Mountain View,45.58.43.190,organization,organization,organization,organization,Institute of Electrical and Electronics Engineers__106__155,,,,other,other,,,,Institute of Electrical and Electronics Engineers__106__155,,Institute__106__115,,Electrical and Electronics__119__145,,Electrical__119__129,,Electronics Engineers__134__155,Electronics__134__145,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Organization,,,,,,,,,,,,,
