_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,alternative1_1,alternative2_1,alternative3_1,alternative4_1,entity_selection,alternative10_1,alternative11_1,alternative12_1,alternative5_1,alternative6_1,alternative7_1,alternative8_1,alternative9_1,alternative1,alternative10,alternative11,alternative12,alternative1_1_gold,alternative2,alternative2_1_gold,alternative3,alternative3_1_gold,alternative4,alternative4_1_gold,alternative5,alternative6,alternative7,alternative8,alternative9,entity_selection_gold,identifier,sentence,type1,type2,what_are_the_valid_types_of_span_classterm_selected_comp10first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp11first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp12first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp5first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp6first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp7first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp8first_span_gold,what_are_the_valid_types_of_span_classterm_selected_comp9first_span_gold
1094402745,11/27/2016 09:07:12,2245418284,11/27/2016 09:06:48,false,clixsense,0.9714,6355877,GBR,J5,North Shields,77.100.1.67,person,other,,,Giuseppe Levi__46__59,,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 13:14:40,2245635596,11/27/2016 13:14:26,false,prodege,0.977,27934334,GBR,H9,London,86.187.165.186,person,person,,,"Levi__55__59
Giuseppe Levi__46__59",,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 16:02:40,2245867474,11/27/2016 15:59:30,false,clixsense,0.971,17950689,GBR,,,147.147.53.210,person,person,,,Giuseppe Levi__46__59,,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 16:14:38,2245887049,11/27/2016 16:14:26,false,instagc,0.9711,31184650,USA,MN,Wells,69.163.5.118,person,person,,,Giuseppe Levi__46__59,,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 16:53:08,2245959377,11/27/2016 16:52:53,false,instagc,0.9648,24252915,GBR,M4,Southampton,78.147.22.60,person,person,,,"Giuseppe Levi__46__59
Levi__55__59",,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 16:57:03,2245967170,11/27/2016 16:56:50,false,clixsense,0.9745,6336109,CAN,,,198.254.194.246,person,person,,,"Giuseppe Levi__46__59
Levi__55__59",,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 17:09:41,2245987560,11/27/2016 17:09:20,false,instagc,0.9699,18985376,GBR,D2,Derby,81.108.86.170,person,person,,,Giuseppe Levi__46__59,,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 18:26:10,2246107504,11/27/2016 18:25:19,false,elite,0.96,32641084,USA,CA,San Jose,50.118.145.162,place,"place
person",,,"Levi__55__59
Giuseppe Levi__46__59",,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 19:32:38,2246198563,11/27/2016 19:32:26,false,clixsense,0.9746,24835873,GBR,P8,Salisbury,88.108.255.6,person,person,,,Giuseppe Levi__46__59,,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
1094402745,11/27/2016 20:56:51,2246311040,11/27/2016 20:56:39,false,neodev,0.9757,12115558,USA,PA,Farrell,104.230.115.153,person,person,,,"Levi__55__59
Giuseppe Levi__46__59",,,,,,,,,Giuseppe Levi__46__59,,,,,Levi__55__59,,,,,,,,,,,,"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Person,,,,,,,,,
