identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,alternative9,alternative10,alternative11,alternative12,type1,type2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-24#char=0,111",Neruda derived his pen name from the Czech poet Jan Neruda and became known as a poet when he was 10 years old.,Jan Neruda__48__58,Jan__48__51,Neruda__52__58,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-25#char=0,402","During his lifetime, Neruda occupied many diplomatic positions and served a term as a Senator for the Chilean Communist Party. When President González Videla outlawed communism in Chile in 1948, a warrant was issued for Neruda's arrest. Friends hide him for months in the basement of a house in the port city of Valparaíso. Later, Neruda escaped through a mountain pass near Maihue Lake into Argentina.",occupied many diplomatic positions__28__62,diplomatic positions__42__62,diplomatic__42__52,positions__53__62,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-25#char=0,402","During his lifetime, Neruda occupied many diplomatic positions and served a term as a Senator for the Chilean Communist Party. When President González Videla outlawed communism in Chile in 1948, a warrant was issued for Neruda's arrest. Friends hide him for months in the basement of a house in the port city of Valparaíso. Later, Neruda escaped through a mountain pass near Maihue Lake into Argentina.",Chilean Communist Party__102__125,Chilean__102__109,Communist__110__119,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-25#char=0,402","During his lifetime, Neruda occupied many diplomatic positions and served a term as a Senator for the Chilean Communist Party. When President González Videla outlawed communism in Chile in 1948, a warrant was issued for Neruda's arrest. Friends hide him for months in the basement of a house in the port city of Valparaíso. Later, Neruda escaped through a mountain pass near Maihue Lake into Argentina.",González Videla__142__157,Videla__151__157,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-26#char=0,208","Quasimodo was born in Modica, Sicily to Gaetano Quasimodo and Clotilde Ragusa. In 1908 his family moved to Messina, as his father had been sent there to help the population struck by a devastating earthquake.",Gaetano Quasimodo__40__57,Gaetano__40__47,Quasimodo__48__57,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-26#char=0,208","Quasimodo was born in Modica, Sicily to Gaetano Quasimodo and Clotilde Ragusa. In 1908 his family moved to Messina, as his father had been sent there to help the population struck by a devastating earthquake.",Clotilde Ragusa__62__77,Clotilde__62__70,Ragusa__71__77,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-28#char=0,199","Thomas Eliot was invited to study at the Institute for Advanced Study by Director Frank Aydelotte. Eliot was born into the Eliot family, a Boston Brahmin family with roots in England and New England.",Institute for Advanced Study__41__69,Institute__41__50,Advanced__55__63,Study__64__69,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-28#char=0,199","Thomas Eliot was invited to study at the Institute for Advanced Study by Director Frank Aydelotte. Eliot was born into the Eliot family, a Boston Brahmin family with roots in England and New England.",Eliot family__123__135,Eliot__123__128,family__129__135,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-28#char=0,199","Thomas Eliot was invited to study at the Institute for Advanced Study by Director Frank Aydelotte. Eliot was born into the Eliot family, a Boston Brahmin family with roots in England and New England.",Boston Brahmin family__139__160,Boston Brahmin__139__153,Boston__139__145,Brahmin__146__153,family__154__160,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-28#char=0,199","Thomas Eliot was invited to study at the Institute for Advanced Study by Director Frank Aydelotte. Eliot was born into the Eliot family, a Boston Brahmin family with roots in England and New England.",New England__187__198,England__191__198,,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-29#char=0,100","Eliot attended Milton Academy in Massachusetts for a preparatory year, where he met Scofield Thayer.",Milton Academy__15__29,Milton__15__21,,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-3#char=0,254","The man served on various committees and spent time at the Royal Aircraft Establishment in Farnborough, where he made a major contribution to the design of the Mark XIV bomb sight which allowed bombs to be released without a level bombing run beforehand.",Royal Aircraft Establishment__59__87,Aircraft__65__73,,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-31#char=0,184","Throughout this time this person also worked with Marguerite Vogt. In 1962, Renato Dulbecco moved to the Salk Institute and then in 1972 to The Imperial Cancer Research Fund in London.",The Imperial Cancer Research Fund__140__173,The Imperial__140__152,Imperial Cancer Research Fund__144__173,Cancer Research__153__168,Cancer__153__159,,,,,,,,Organization,
