identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,alternative9,alternative10,alternative11,alternative12,type1,type2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-77#char=0,215","He was a boy scout, with the Boy Scouts of America and became an Eagle Scout. He attended Washington University in St. Louis for undergraduate studies as an Alexander S. Langsdorf Fellow, and obtained three degrees.",Washington University in St. Louis__90__124,Washington University__90__111,University__101__111,St. Louis__115__124,St__115__117,Louis__119__124,,,,,,,Organization,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-77#char=0,215","He was a boy scout, with the Boy Scouts of America and became an Eagle Scout. He attended Washington University in St. Louis for undergraduate studies as an Alexander S. Langsdorf Fellow, and obtained three degrees.",Alexander S. Langsdorf Fellow__157__186,Alexander S. Langsdorf__157__179,Alexander S__157__168,Alexander__157__166,S.__167__169,Langsdorf Fellow__170__186,Langsdorf__170__179,Fellow__180__186,,,,,Person,Role
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-78#char=0,176","Munro began writing as a teenager, publishing her first story, ""The Dimensions of a Shadow"", in 1950 while studying English and journalism at the University of Western Ontario.",University of Western Ontario__146__175,University__146__156,Ontario__168__175,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-79#char=0,226","Between 1987 and 1989, Yamanaka was a resident in orthopedic surgery at the National Osaka Hospital. His first operation was to remove a benign tumor from his friend Shuichi Hirata, a task he could not complete after one hour.",National Osaka Hospital__76__99,National__76__84,Osaka__85__90,Hospital__91__99,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-79#char=0,226","Between 1987 and 1989, Yamanaka was a resident in orthopedic surgery at the National Osaka Hospital. His first operation was to remove a benign tumor from his friend Shuichi Hirata, a task he could not complete after one hour.",Shuichi Hirata__166__180,Hirata__174__180,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-8#char=0,152","Nelson Mandela publicly launched Umkhonto we Sizwe at the All In Conference, where delegates from several movements had convened to discuss cooperation.",Umkhonto we Sizwe__33__50,Sizwe__45__50,,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-80#char=0,229","She married James Sirleaf when she was 17 years old, and then traveled with him to the United States in 1961 to continue her studies and earned an associate degree in accounting at Madison Business College, in Madison, Wisconsin.",James Sirleaf__12__25,Sirleaf__18__25,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-80#char=0,229","She married James Sirleaf when she was 17 years old, and then traveled with him to the United States in 1961 to continue her studies and earned an associate degree in accounting at Madison Business College, in Madison, Wisconsin.",United States__87__100,United__87__93,,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-80#char=0,229","She married James Sirleaf when she was 17 years old, and then traveled with him to the United States in 1961 to continue her studies and earned an associate degree in accounting at Madison Business College, in Madison, Wisconsin.",Madison Business College__181__205,Madison__181__188,,,,,,,,,,,Organization,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-80#char=0,229","She married James Sirleaf when she was 17 years old, and then traveled with him to the United States in 1961 to continue her studies and earned an associate degree in accounting at Madison Business College, in Madison, Wisconsin.","Madison, Wisconsin__210__228",Madison__210__217,Wisconsin__219__228,,,,,,,,,,Place,
