identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,alternative9,alternative10,alternative11,alternative12,type1,type2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-44#char=0,131","After graduating in 1936, she went to work as Giuseppe Levi's assistant, but her academic career was cut short by Benito Mussolini.",Giuseppe Levi__46__59,Levi__55__59,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-45#char=0,137",Levi-Montalcini lost her assistant position in the anatomy department after a 1938 law barring Jews from university positions was passed.,assistant position__25__43,assistant__25__34,,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-45#char=0,137",Levi-Montalcini lost her assistant position in the anatomy department after a 1938 law barring Jews from university positions was passed.,anatomy department__51__69,anatomy__51__58,department__59__69,,,,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-46#char=0,322","In September 1946, Levi-Montalcini accepted an invitation to Washington University in St. Louis, under the supervision of Professor Viktor Hamburger. Although the initial invitation was for one semester, after she repeated the exciting results from her home laboratory, Hamburger offered her a research associate position.",Washington University in St. Louis__61__95,Washington University__61__82,St. Louis__86__95,St__86__88,Louis__90__95,,,,,,,,Organization,Place
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-46#char=0,322","In September 1946, Levi-Montalcini accepted an invitation to Washington University in St. Louis, under the supervision of Professor Viktor Hamburger. Although the initial invitation was for one semester, after she repeated the exciting results from her home laboratory, Hamburger offered her a research associate position.",research associate__294__312,research__294__302,associate position__303__321,associate__303__312,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-47#char=0,85",She was appointed as Senator for Life in Italy by the President Carlo Azeglio Ciampi.,Senator for Life__21__37,Senator__21__28,Life__33__37,,,,,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-47#char=0,85",She was appointed as Senator for Life in Italy by the President Carlo Azeglio Ciampi.,Carlo Azeglio Ciampi__64__84,Azeglio__70__77,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-48#char=0,141","Elie Wiesel was born in Sighet, Transylvania, Maramureș, Romania, in the Carpathian Mountains. His parents were Sarah Feig and Shlomo Wiesel.",Sarah Feig__112__122,Sarah__112__117,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-48#char=0,141","Elie Wiesel was born in Sighet, Transylvania, Maramureș, Romania, in the Carpathian Mountains. His parents were Sarah Feig and Shlomo Wiesel.",Shlomo Wiesel__127__140,Wiesel__134__140,,,,,,,,,,,Person,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-49#char=0,262","In 1940, Romania lost the town of Sighet to Hungary following the Second Vienna Award. In 1944, Wiesel, his family, and the rest of the town were placed in one of the two ghettos in Sighet. Wiesel and his family lived in the larger of the two, on Serpent Street.",Serpent Street__247__261,Serpent__247__254,Street__255__261,,,,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-5#char=0,218","After the armistice between France and Germany in the summer of 1940, Walter Bothe received orders to inspect the cyclotron Frédéric Joliot-Curie had built in Paris. While it had been built, it was not yet operational.",armistice between France and Germany__10__46,France__28__34,Germany__39__46,,,,,,,,,,Place,
